epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.714,0.8067,2.1259,1.05676,0.07959,0.32759,0.07571,0.05735,1.09023,inf,1.20512,0.000325203,0.000325203,0.000325203
2,213.406,0.72528,1.1386,0.99327,0.26766,0.37759,0.22944,0.17833,0.99394,inf,1.25732,0.000650387,0.000650387,0.000650387
3,314.919,0.76872,1.15557,1.02055,0.06091,0.09662,0.02591,0.02036,3.17682,inf,7.85334,0.000967321,0.000967321,0.000967321
4,407.541,0.7431,0.96741,1.00433,0.49803,0.41146,0.38445,0.30033,1.06988,1.8958,1.20662,0.000962875,0.000962875,0.000962875
5,511.863,0.72575,0.84866,0.99224,0.56477,0.53558,0.49714,0.39053,0.75352,1.36922,1.02667,0.0009505,0.0009505,0.0009505
6,615.235,0.70512,0.80686,0.98776,0.61332,0.5583,0.54224,0.44136,0.71567,1.48515,1.01949,0.000938125,0.000938125,0.000938125
7,717.12,0.7028,0.82477,0.99025,0.62754,0.61299,0.65004,0.52928,0.71432,1.18056,1.00362,0.00092575,0.00092575,0.00092575
8,820.72,0.68972,0.76077,0.97569,0.71266,0.67926,0.73563,0.60947,0.65309,0.77611,0.96328,0.000913375,0.000913375,0.000913375
9,922.214,0.68551,0.76348,0.96322,0.6579,0.6463,0.68699,0.55535,0.66949,1.09798,0.9873,0.000901,0.000901,0.000901
10,1023.99,0.6564,0.7327,0.9587,0.72703,0.66485,0.73329,0.6137,0.65639,0.91226,0.98441,0.000888625,0.000888625,0.000888625
11,1127.86,0.65189,0.74254,0.95561,0.7827,0.74187,0.81763,0.67445,0.63605,0.64974,0.97855,0.00087625,0.00087625,0.00087625
12,1228.32,0.65387,0.68623,0.94391,0.76822,0.75326,0.81002,0.68212,0.62997,0.64325,0.96373,0.000863875,0.000863875,0.000863875
13,1334.76,0.64022,0.67627,0.9465,0.76641,0.72916,0.80605,0.67671,0.61871,0.78127,0.95531,0.0008515,0.0008515,0.0008515
14,1431.03,0.62504,0.66057,0.93916,0.74889,0.72625,0.80807,0.68477,0.61783,0.63928,0.95309,0.000839125,0.000839125,0.000839125
15,1524.24,0.61471,0.64913,0.93239,0.78196,0.73202,0.81812,0.68799,0.62125,0.65553,0.95874,0.00082675,0.00082675,0.00082675
16,1631.08,0.61553,0.59975,0.9351,0.75222,0.80841,0.85642,0.72836,0.59401,0.55112,0.93772,0.000814375,0.000814375,0.000814375
17,1733.56,0.61027,0.60732,0.92998,0.78629,0.7861,0.85343,0.72498,0.5812,0.56095,0.93367,0.000802,0.000802,0.000802
18,1825.79,0.58736,0.59883,0.92165,0.75373,0.81093,0.84248,0.71541,0.59738,0.55895,0.94967,0.000789625,0.000789625,0.000789625
19,1924.66,0.59639,0.63076,0.93134,0.71233,0.77356,0.82721,0.70545,0.57176,0.61827,0.93247,0.00077725,0.00077725,0.00077725
